regime,signal,selected_features,risk_multiplier,confidence,reason,source,guardrails_applied,time,idx,close
value_investing,buy,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.8,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-09-07 00:00:00+00:00,60,111129.61
value_investing,buy,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.8,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-09-08 00:00:00+00:00,61,112072.57
value_investing,buy,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.8,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-09-09 00:00:00+00:00,62,111549.32
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.4,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['indicator_confirmation_failed: DCA/value buy needs RSI<=55 or price below EMA100'],2025-09-10 00:00:00+00:00,63,113983.97
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.4,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-09-11 00:00:00+00:00,64,115540.0
hold,sell,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.8,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-09-12 00:00:00+00:00,65,116106.03
hold,sell,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.8,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-09-13 00:00:00+00:00,66,115968.35
hold,sell,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.8,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-09-14 00:00:00+00:00,67,115314.13
hold,sell,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.8,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-09-15 00:00:00+00:00,68,115381.08
hold,sell,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.8,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-09-16 00:00:00+00:00,69,116832.56
swing_trading,buy,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.8,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-09-17 00:00:00+00:00,70,116484.4
swing_trading,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.4,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,"['indicator_confirmation_failed: swing buy needs close>EMA50, EMA20>EMA50, MACD hist>0, and RSI 45-75']",2025-09-18 00:00:00+00:00,71,117117.99
swing_trading,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.4,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-09-19 00:00:00+00:00,72,115690.55
swing_trading,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.4,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-09-20 00:00:00+00:00,73,115752.4
